Country,Adults(1000s),Wealth per adult(USD MEAN),Wealth per adult(USD Median),Under 10k(%),10k – 100k(%),100k – 1M(%),Over 1M(%),Total(%),Gini(%)
Gambia,908,864,324,99.2,0.8,0,0,100,70.8
Mozambique,11,441,811,313,99.3,0.7,0,0,100,70
Uganda,15,107,750,294,99.4,0.6,0,0,100,69.6
DR Congo,31,854,321,124,99.9,0.1,0,0,100,69.6
Madagascar,10,359,448,177,99.8,0.2,0,0,100,69.4
Eritrea,2,781,2,125,875,96.3,3.7,0,0,100,68.9
Sierra Leone,2,897,681,273,99.6,0.4,0,0,100,68.8
Ghana,13,501,1,811,743,97.7,2.3,0,0,100,68.6
Togo,3,693,2,450,1,049,95.6,4.3,0,0,100,67.9
Mauritania,1,832,1,967,865,97,3,0,0,100,67.7
Burkina Faso,7,721,1,273,543,98.7,1.3,0,0,100,67.7
Chad,5,485,1,131,483,99,1,0,0,100,67.5
Malawi,7,417,207,89,100,0,0,0,100,67.3
Guinea,5,301,882,380,99.4,0.6,0,0,100,67.3
Senegal,6,423,2,597,1,125,95.3,4.7,0,0,100,67.2
Cameroon,10,459,2,603,1,115,95.2,4.8,0,0,100,67.2
Cambodia,9,151,2,644,1,155,95,4.9,0,0,100,67
Liberia,2,118,2,173,987,96.5,3.5,0,0,100,66.7
Tanzania,22,038,951,423,99.3,0.7,0,0,100,66.6
Myanmar,34,180,2,214,941,97,3,0,0,100,66.4
Guinea-Bissau,836,424,199,99.9,0.1,0,0,100,65.7
Niger,7,014,937,434,99.3,0.7,0,0,100,65.5
Sudan,23,811,1,291,595,98.9,1.1,0,0,100,65.4
Burundi,4,729,293,137,99.9,0.1,0,0,100,65.2
Mali,6,464,955,455,99.4,0.6,0,0,100,64.7
Nepal,17,273,1,998,951,97.7,2.3,0,0,100,64.7
Bangladesh,104,135,1,894,908,97.9,2.1,0,0,100,64.6
Ethiopia,42,750,411,207,99.9,0.1,0,0,100,63.6
Belarus,7,543,2,407,1,271,96.8,3.1,0,0,100,62.2
